Year,X5.,Mean,X95.,scenario
1950,-0.06003,0.252242,0.608546,Historical
1951,-0.0556856,0.274715,0.525308,Historical
1952,-0.0428913,0.274303,0.540725,Historical
1953,-0.0205299,0.253376,0.535419,Historical
1954,-0.127657,0.246369,0.553914,Historical
1955,-0.0454359,0.273183,0.541897,Historical
1956,-0.122056,0.270194,0.595489,Historical
1957,-0.0815188,0.26802,0.57224,Historical
1958,-0.0351503,0.258518,0.534191,Historical
1959,-0.0235373,0.258082,0.555881,Historical
1960,-0.083648,0.275816,0.549635,Historical
1961,0.0237076,0.278716,0.596956,Historical
1962,-0.114702,0.243163,0.485732,Historical
1963,-0.154688,0.146068,0.446616,Historical
1964,-0.199097,0.0675637,0.358201,Historical
1965,-0.189913,0.0892355,0.330021,Historical
1966,-0.0801923,0.136807,0.41921,Historical
1967,-0.252428,0.13223,0.43186,Historical
1968,-0.225698,0.163259,0.469934,Historical
1969,-0.141856,0.197771,0.431807,Historical
1970,-0.0973114,0.211585,0.493199,Historical
1971,-0.187701,0.228505,0.531925,Historical
1972,-0.179701,0.20259,0.472747,Historical
1973,-0.0230189,0.226456,0.451735,Historical
1974,-0.0151033,0.246628,0.497963,Historical
1975,-0.0295577,0.211784,0.529958,Historical
1976,-0.0158827,0.219708,0.468149,Historical
1977,0.0225135,0.278376,0.499191,Historical
1978,0.0282921,0.282009,0.611599,Historical
1979,-0.0254563,0.311394,0.570115,Historical
1980,0.0330293,0.34729,0.624456,Historical
1981,0.113745,0.377955,0.592297,Historical
1982,0.0713663,0.337443,0.585534,Historical
1983,-0.0139346,0.23189,0.568651,Historical
1984,0.134554,0.303182,0.607088,Historical
1985,0.0504538,0.354818,0.646899,Historical
1986,0.145226,0.38841,0.688514,Historical
1987,0.166573,0.437567,0.693618,Historical
1988,0.152693,0.471578,0.695916,Historical
1989,0.293242,0.516417,0.7338,Historical
1990,0.409507,0.586496,0.817305,Historical
1991,0.300284,0.565131,0.814267,Historical
1992,0.065736,0.292329,0.523401,Historical
1993,0.149989,0.348397,0.626579,Historical
1994,0.167363,0.450393,0.681278,Historical
1995,0.282344,0.490861,0.751686,Historical
1996,0.356335,0.565519,0.755367,Historical
1997,0.434545,0.638018,0.845823,Historical
1998,0.445872,0.645688,0.831704,Historical
1999,0.445269,0.681837,0.865118,Historical
2000,0.537534,0.735275,0.871411,Historical
2001,0.604782,0.798701,0.999765,Historical
2002,0.597459,0.820328,0.991021,Historical
2003,0.682348,0.856159,0.994181,Historical
2004,0.689514,0.865993,1.06856,Historical
2005,0.693329,0.884204,1.06246,Historical
2006,0.692701,0.899079,1.08839,Historical
2007,0.732211,0.928693,1.10407,Historical
2008,0.792066,0.942816,1.13052,Historical
2009,0.797398,0.961617,1.15798,Historical
2010,0.836971,1.00262,1.28012,Historical
2011,0.842644,1.03633,1.18925,Historical
2012,0.882825,1.0613,1.24067,Historical
2013,0.913046,1.08492,1.2857,Historical
2014,0.930436,1.10004,1.33164,Historical
2015,1.015464594,1.098806697,1.187128662,SSP1_1_9
2016,1.032164094,1.123233684,1.219921902,SSP1_1_9
2017,1.04992247,1.148855749,1.253968339,SSP1_1_9
2018,1.068048495,1.17520481,1.289161376,SSP1_1_9
2019,1.084378535,1.200603567,1.324116437,SSP1_1_9
2020,1.09938112,1.225472443,1.359480014,SSP1_1_9
2021,1.116316397,1.251715813,1.395545562,SSP1_1_9
2022,1.131426639,1.276959015,1.431435217,SSP1_1_9
2023,1.143703642,1.300042351,1.466095905,SSP1_1_9
2024,1.155780874,1.321454671,1.497793007,SSP1_1_9
